partido,Auxílio-Moradia-2015,Auxílio-Moradia-2016,Auxílio-Moradia-2017,Auxílio-Moradia-2018,Escritório(s) de Apoio-2015,Escritório(s) de Apoio-2016,Escritório(s) de Apoio-2017,Escritório(s) de Apoio-2018,Gabinete-2015,Gabinete-2016,Gabinete-2017,Gabinete-2018,Imóvel Funcional-2015,Imóvel Funcional-2016,Imóvel Funcional-2017,Imóvel Funcional-2018,TotalGabinete-2015,TotalGabinete-2016,TotalGabinete-2017,TotalGabinete-2018,gastos,gastos2015,gastos2016,gastos2017,gastos2018
MDB,32,17,10,0,263,267,308,329,365,366,361,447,124,132,146,65,628,633,669,776,19556569.21,5516937.42,5551395.65,6474080.43,2014155.71
PSDB,39,38,27,10,137,142,164,179,237,228,187,245,92,113,121,44,374,370,351,424,15559179.15,4643389.03,4758062.00,4649262.33,1508465.78
PT,57,34,24,6,193,168,202,201,140,125,134,167,48,74,84,35,333,293,336,368,14385277.12,4211116.29,4407091.37,4310293.19,1456776.27
PP,12,17,24,10,132,151,164,167,99,118,112,127,31,36,36,15,231,269,276,294,7866156.86,2109615.54,2331558.65,2522704.19,902278.48
PODE,0,0,0,0,96,92,85,83,108,92,101,121,20,24,24,10,204,184,186,204,6231589.27,1809579.83,1928504.99,1857581.12,635923.33
PSD,10,12,12,5,60,61,61,65,89,86,94,110,32,36,36,15,149,147,155,175,5636693.34,1540918.85,1657092.57,1801479.90,637202.02
DEM,13,21,12,5,94,69,93,91,93,90,110,123,16,24,24,10,187,159,203,214,5507866.07,1598820.31,1645229.45,1797720.22,466096.09
PSB,0,0,1,3,100,109,116,122,77,65,71,85,48,48,48,20,177,174,187,207,5487000.33,1679207.50,1517537.66,1713647.43,576607.74
PR,12,19,24,11,88,93,93,90,78,78,91,105,24,24,12,5,166,171,184,195,5272673.53,1461562.46,1703251.54,1562412.19,545447.34
PDT,12,23,25,10,39,56,78,71,38,59,76,75,2,0,0,0,77,115,154,146,3935007.70,971500.18,1133750.98,1355314.09,474442.45
PTB,11,10,0,0,53,15,53,14,40,68,33,29,12,17,21,10,93,83,86,43,2904839.36,802779.64,783276.79,895322.22,423460.71
PRB,12,21,24,10,25,12,57,61,15,28,34,41,0,0,0,0,40,40,91,102,2358423.62,455566.24,610120.12,962058.80,330678.46
PCdoB,0,0,0,0,36,43,43,42,19,20,18,22,12,12,12,5,55,63,61,64,1816203.01,581310.32,528858.38,563688.08,142346.23
REDE,0,0,0,0,22,30,35,35,15,13,13,17,12,12,12,5,37,43,48,52,1683504.14,528366.64,532351.48,450742.29,172043.73
PTC,0,0,0,0,0,0,31,33,77,78,50,55,12,12,12,5,77,78,81,88,1618057.69,478864.48,537064.71,431015.35,171113.15
PROS,0,0,0,0,0,19,30,41,79,57,46,58,0,0,0,0,79,76,76,99,969830.59,243355.52,300146.29,332663.38,93665.40
S/Partido,22,7,1,0,36,0,0,0,37,9,10,9,0,0,0,0,73,9,10,9,664275.70,521769.25,138176.87,4146.17,183.41
PPS,0,0,0,0,0,0,0,0,25,27,26,31,0,0,0,0,25,27,26,31,279050.63,29753.18,125392.13,91630.57,32274.75
PRTB,0,0,0,4,0,0,11,0,0,0,32,3,0,0,0,0,0,0,43,3,160101.74,0.00,0.00,30225.73,129876.01
PSC,0,2,0,0,0,19,0,0,0,14,0,0,0,0,0,0,0,33,0,0,47161.41,0.00,47161.41,0.00,0.00
PV,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
PPL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
